gene_id	antibody_id
SOS1	CAB005396
WASL	CAB005399
SREBF1	CAB005406
SRF	CAB005416
TUBB	CAB005417
UBC	CAB005419
XRCC1	CAB005427
VEGFA	CAB005429
VHL	CAB005430
PDGFA	CAB005579
MAPK8IP3	CAB005580
HDAC3	CAB005583
TOMM20	CAB005585
SPPL2B	CAB005592
VCP	CAB005593
PLN	CAB005597
ATP2B1	CAB005605
ATP2B2	CAB005606
PPP3R1	CAB005610
EEA1	CAB005861
AURKB	CAB005862
HSPBP1	CAB005865
DDX5	CAB005868
PARK7	CAB005870
DLK1	CAB005872
HMGB1	CAB005873
YBX1	CAB005875
DNMT1	CAB005876
SNAI1	CAB005883
KDM1A	CAB005884
VDAC1	CAB005885
TUBA4A	CAB005887
NES	CAB005889
DNM1	CAB005920
AHSA1	CAB006244
DNAI2	CAB006245
AKR1A1	CAB006246
ALDOA	CAB006252
GPR3	CAB006254
VBP1	CAB006260
ALB	CAB006262
RBBP4	CAB006264
ORM1	CAB006265
SFN	CAB006268
NAA10	CAB006269
CCT5	CAB006271
TMEM115	CAB006319
ISCU	CAB006329
CYB5A	CAB006333
CCR6	CAB006820
CCR9	CAB006839
PSEN1	CAB006844
RBPJL	CAB006846
CAMK2B	CAB006849
PYCARD	CAB006853
RRM2B	CAB006854
4-Sep	CAB006855
BMP4	CAB006863
NRGN	CAB006908
ATP6V1A	CAB006910
C1QTNF7	CAB007055
IL33	CAB007057
SLIT2	CAB007590
ARF1	CAB007742
MAP2K6	CAB007744
MAP2K4	CAB007751
BBC3	CAB007752
RELB	CAB007753
MAP4K1	CAB007754
STXBP4	CAB007760
MAP3K3	CAB007764
FLOT1	CAB007766
IL18	CAB007772
SYK	CAB007773
IL1R1	CAB007779
JUN	CAB007780
CAD	CAB007781
ACLY	CAB007783
NEFH	CAB007786
RASA1	CAB007789
CALM2	CAB007790
GYS1	CAB007793
PAK2	CAB007794
EEF2	CAB007795
FCGR2B	CAB007796
CCL4	CAB007805
PPP1R1A	CAB007811
HIST2H2BF	CAB007814
APCS	CAB007817
EEF2K	CAB007818
MAP3K5	CAB007824
CCNE2	CAB007825
SPRY4	CAB008086
CBLC	CAB008087
SMAD3	CAB008094
RFFL	CAB008096
FANCG	CAB008105
FBXO5	CAB008106
USP7	CAB008108
MAD2L2	CAB008110
NOTCH1	CAB008112
SFRP1	CAB008116
APOE	CAB008363
TPT1	CAB008364
SELENBP1	CAB008366
FHL2	CAB008368
CEACAM6	CAB008370
CENPA	CAB008371
STX1A	CAB008372
PTTG1	CAB008373
RUNX2	CAB008374
ABI1	CAB008375
PDPN	CAB008376
TNFRSF13C	CAB008380
CASP3	CAB008381
GLB1	CAB008382
GNAO1	CAB008387
PSME3	CAB008388
GLI2	CAB008558
AMPH	CAB008559
CP	CAB008591
GC	CAB008596
FDXR	CAB008597
FTH1	CAB008623
FGB	CAB008624
GPLD1	CAB008625
GPX4	CAB008630
GSR	CAB008632
GLRX	CAB008634
GLUL	CAB008636
SERPIND1	CAB008639
HSPA1B	CAB008640
LTF	CAB008646
RPS6KA4	CAB008649
MSRB1	CAB008650
PRDX3	CAB008656
PRDX4	CAB008659
PRDX5	CAB008661
PRDX6	CAB008663
ROCK2	CAB008666
SELENOM	CAB008667
SOD1	CAB008670
CCS	CAB008672
TXN	CAB008678
